bairro_id,repeticoes,media_dijkstra_tempo_real_us,media_bellman_ford_tempo_real_us,media_dijkstra_cpu_us,media_bellman_ford_cpu_us
1,100000,0.2341,0.1210,0.5344,0.4224
2,100000,0.2215,0.1160,0.4867,0.3818
3,100000,0.2010,0.1050,0.4652,0.3701
4,100000,0.2167,0.1291,0.4982,0.4109
5,100000,0.2108,0.1277,0.4812,0.4001
